#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
1090,Justin Holiday,422,9700,3445,1208,3040,39.7,617,1705,36.2,412,499,82.6,158,1064,1222,607,416,177,380,49.9,52.8
1091,Bill Calhoun,442,8221,3440,1171,3431,34.1,0,0,0,1098,1565,70.2,0,0,1292,1036,0,0,0,34.1,41.8
1092,Larry Krystkowiak,420,9098,3425,1294,2830,45.7,5,36,13.9,832,1046,79.5,643,1408,2051,513,264,62,522,45.8,52
1093,Darius Songaila,495,9228,3415,1449,2904,49.9,3,19,15.8,514,609,84.4,553,1136,1689,589,324,106,486,49.9,53.8
1094,Eddie Jordan,420,8507,3414,1349,3256,41.4,22,98,22.4,694,909,76.3,216,572,788,1595,766,96,897,41.8,46.7
1095,Jason Kapono,509,9071,3398,1336,3026,44.2,457,1054,43.4,269,322,83.5,165,679,844,417,180,25,327,51.7,53.6
1096,Jim Petersen,491,9802,3397,1371,2821,48.6,2,28,7.1,653,901,72.5,766,1588,2354,487,213,363,662,48.6,52.8
1097,Kevin Restani,550,10114,3386,1522,3134,48.6,8,39,20.5,334,466,71.7,756,1450,2206,747,221,111,330,48.7,50.7
1098,John Henson,445,8751,3383,1438,2661,54,20,80,25,487,857,56.8,802,1566,2368,496,211,642,496,54.4,55.7
1099,Mike Gale,453,11189,3372,1425,3006,47.4,4,25,16,518,628,82.5,238,884,1122,1965,840,163,647,47.5,51.4
1100,Jason Caffey,462,9051,3368,1276,2652,48.1,0,8,0,816,1282,63.7,841,1181,2022,420,209,110,647,48.1,52.4
1101,Mike O'Koren,407,8810,3355,1449,2960,49,35,129,27.1,422,648,65.1,489,902,1391,856,311,89,541,49.5,51.7
1102,Felton Spencer,640,12300,3354,1194,2466,48.4,0,1,0,966,1469,65.8,1313,2123,3436,213,248,534,667,48.4,53.9
1103,Dahntay Jones,624,9801,3353,1203,2739,43.9,107,325,32.9,840,1118,75.1,252,830,1082,529,261,144,507,45.9,51.9
1104,Devin Brown,465,9020,3352,1174,2927,40.1,300,888,33.8,704,907,77.6,336,952,1288,679,263,58,505,45.2,50.4
1105,Jumaine Jones,471,9782,3325,1294,3052,42.4,425,1218,34.9,312,443,70.4,552,1435,1987,408,307,144,388,49.4,51.2
1106,Steve Colter,526,9570,3319,1295,2891,44.8,76,263,28.9,653,839,77.8,297,754,1051,1482,463,76,534,46.1,50.9
